,Sensitivity1,Sensitivity2,Sensitivity3,Sensitivity4
Outer Diameter,0.2731,0.3239,0.2731,0.3239
Wall Thickness,0.0127,0.0159,0.0127,0.0159
Corrosion Allowance,0.003,0.003,0.003,0.003
Coating Thickness,0.003,0.003,0.003,0.003
Material,1,1,2,2
SMYS,450000000,450000000,450000000,450000000
SMTS,600000000,600000000,700000000,700000000
Temperature,80,110,80,110
Material Strength Factor,0.96,0.96,0.96,0.96
Surface Roughness,Smooth,Smooth,Smooth,Smooth
Undrained Shear Strength at Seabed,5000,5000,5000,5000
Undrained Shear Strength Gradient,1000,1000,1000,1000
Submerged Unit Weight,5500,5500,5500,5500
Lateral Friction Factor - LE,0.25,0.25,0.25,0.25
Lateral Friction Factor - BE,0.5,0.5,0.5,0.5
Lateral Friction Factor - HE,0.75,0.75,0.75,0.75
Lateral Friction Factor - Fit Type,LE_BE_HE,LE_BE,BE_HE,LE_BE_HE
Corroded Wall Thickness,0.0097,0.012900000000000002,0.0097,0.012900000000000002
Total Outer Diameter,0.2731,0.3239,0.2731,0.3239
Burst Pressure,35270393.702228084,38255444.18258572,31024883.34918211,32645871.838504642
Depth Arrays,[0.000e+00 1.000e-03 2.000e-03 ... 4.998e+00 4.999e+00 5.000e+00],[0.000e+00 1.000e-03 2.000e-03 ... 4.998e+00 4.999e+00 5.000e+00],[0.000e+00 1.000e-03 2.000e-03 ... 4.998e+00 4.999e+00 5.000e+00],[0.000e+00 1.000e-03 2.000e-03 ... 4.998e+00 4.999e+00 5.000e+00]
Vertical Bearing Capacity Arrays,"[    0.           848.93102754  1199.08122637 ... 26255.33673193
 26258.60613667 26261.87553182]","[    0.           924.87980385  1306.788781   ... 31084.11324326
 31087.99819615 31091.88313548]","[    0.           848.93102754  1199.08122637 ... 26255.33673193
 26258.60613667 26261.87553182]","[    0.           924.87980385  1306.788781   ... 31084.11324326
 31087.99819615 31091.88313548]"
Depth Arrays Model 2,[0.000e+00 1.000e-03 2.000e-03 ... 4.998e+00 4.999e+00 5.000e+00],[0.000e+00 1.000e-03 2.000e-03 ... 4.998e+00 4.999e+00 5.000e+00],[0.000e+00 1.000e-03 2.000e-03 ... 4.998e+00 4.999e+00 5.000e+00],[0.000e+00 1.000e-03 2.000e-03 ... 4.998e+00 4.999e+00 5.000e+00]
Vertical Bearing Capacity Arrays Model 2,"[    0.           888.76176266  1257.40644829 ... 45079.6289539
 45086.96614465 45094.30342012]","[    0.           967.89891021  1369.36861044 ... 51772.49473315
 51780.94497238 51789.3953079 ]","[    0.           888.76176266  1257.40644829 ... 45079.6289539
 45086.96614465 45094.30342012]","[    0.           967.89891021  1369.36861044 ... 51772.49473315
 51780.94497238 51789.3953079 ]"
Lateral Friction Factor - Mean,0.4842197683905062,0.5464263970335208,0.5154232579155645,0.4842197683905062
Lateral Friction Factor - STD,0.15019865261635001,0.24089022234385316,0.12901822903237958,0.15019865261635001
Lateral Friction Factor - Location,-0.7711485072602042,-0.6931549255176929,-0.6931533512764361,-0.7711485072602042
Lateral Friction Factor - Scale,0.3030910716601287,0.42142440472260606,0.2465217858374053,0.3030910716601287
Lateral Friction Factor - LE Fit,0.2809189864184054,0.24998949397284784,0.3333222281298135,0.2809189864184054
Lateral Friction Factor - BE Fit,0.46248159969690456,0.49999612753612227,0.49999691465127405,0.46248159969690456
Lateral Friction Factor - HE Fit,0.7613911497588762,1.0000265354282092,0.7500157312143948,0.7613911497588762
Lateral Friction Factor - RMSE,0.028829223456266248,7.917467493027873e-06,1.133557416048791e-05,0.028829223456266248
Lateral Friction Factor - R²,0.980053020997808,0.9999999959880773,0.9999999917763045,0.980053020997808
Lateral Friction Factor - Friction Factor Range,[0.14981573 0.14994353 0.15007133 ... 1.42742645 1.42755425 1.42768205],[0.10430466 0.10453393 0.1047632  ... 2.39632916 2.39655843 2.3967877 ],[0.19989322 0.19999831 0.2001034  ... 1.2504421  1.25054719 1.25065227],[0.14981573 0.14994353 0.15007133 ... 1.42742645 1.42755425 1.42768205]
Lateral Friction Factor - Friction Factor CDF,"[1.00000000e-04 1.01119476e-04 1.02249749e-04 ... 9.99899766e-01
 9.99899883e-01 9.99900000e-01]","[1.00000000e-04 1.02082524e-04 1.04201040e-04 ... 9.99899820e-01
 9.99899910e-01 9.99900000e-01]","[1.00000000e-04 1.00847286e-04 1.01700862e-04 ... 9.99899730e-01
 9.99899865e-01 9.99900000e-01]","[1.00000000e-04 1.01119476e-04 1.02249749e-04 ... 9.99899766e-01
 9.99899883e-01 9.99900000e-01]"
